| time |   in   |load |  out   |
| 49+  |     -9 |  1  |      0 |
| 50   |     -9 |  1  |      0 |
| 50+  |    -17 |  0  |      0 |
| 51   |    -17 |  0  |      0 |
| 51+  |    -17 |  1  |      0 |
| 52   |    -17 |  1  |      0 |
| 52+  |    -33 |  0  |      0 |
| 53   |    -33 |  0  |      0 |
| 53+  |    -33 |  1  |      0 |
| 54   |    -33 |  1  |      0 |
| 54+  |    -65 |  0  |      0 |
| 55   |    -65 |  0  |      0 |
| 55+  |    -65 |  1  |      0 |
| 56   |    -65 |  1  |      0 |
| 56+  |   -129 |  0  |      0 |
| 57   |   -129 |  0  |      0 |
| 57+  |   -129 |  1  |      0 |
| 58   |   -129 |  1  |      0 |
| 58+  |   -257 |  0  |      0 |
| 59   |   -257 |  0  |      0 |
| 59+  |   -257 |  1  |      0 |
| 60   |   -257 |  1  |      0 |
| 60+  |   -513 |  0  |      0 |
| 61   |   -513 |  0  |      0 |
| 61+  |   -513 |  1  |      0 |
| 62   |   -513 |  1  |      0 |
| 62+  |  -1025 |  0  |      0 |
| 63   |  -1025 |  0  |      0 |
| 63+  |  -1025 |  1  |      0 |
| 64   |  -1025 |  1  |      0 |
| 64+  |  -2049 |  0  |      0 |
| 65   |  -2049 |  0  |      0 |
| 65+  |  -2049 |  1  |      0 |
| 66   |  -2049 |  1  |      0 |
| 66+  |  -4097 |  0  |      0 |
| 67   |  -4097 |  0  |      0 |
| 67+  |  -4097 |  1  |      0 |
| 68   |  -4097 |  1  |      0 |
| 68+  |  -8193 |  0  |      0 |
| 69   |  -8193 |  0  |      0 |
| 69+  |  -8193 |  1  |      0 |
| 70   |  -8193 |  1  |      0 |
| 70+  | -16385 |  0  |      0 |
| 71   | -16385 |  0  |      0 |
| 71+  | -16385 |  1  |      0 |
| 72   | -16385 |  1  |      0 |
| 72+  |  32767 |  0  |      0 |
| 73   |  32767 |  0  |      0 |
| 73+  |  32767 |  1  |      0 |
| 74   |  32767 |  1  |      0 |
